IAV_L2FC,HPIV3_L2FC,RSV_L2FC,SARS-CoV-2(Calu-3)_L2FC,SARS-CoV-2(A549)_L2FC,SARS-CoV-2(A549-ACE2),SARS-CoV-2(A549-ACE2)-Ruxolitinib_L2FC,padj_IAV,padj_HPIV3,padj_RSV,padj_SARS-CoV-2(Calu-3),padj_SARS-CoV-2(A549),padj_SARS-CoV-2(A549-ACE2),padj_SARS-CoV-2(A549-ACE2)-Ruxolitinib
IFNL1,1.3697,7.837987906,7.142761596,7.2399,0,5.077691533,3.547628272,1,2.62E-68,4.51E-44,2.53E-139,1,1,1
IFNL2,1.37928,6.843922417,4.838329165,7.87792,0,5.246026412,1.947435756,1,1.48E-48,9.74E-17,5.69E-107,1,2.69E-20,1
IFNL3,1.81542,6.225043117,4.82734711,7.46801,0,5.045847573,2.510746425,1,3.66E-35,3.19E-16,5.51E-102,1,2.37E-18,1
IFNB1,0.46829,6.440459331,4.85703605,8.6983,-0.12712,5.755194439,3.920028105,1,2.13E-42,4.92E-17,0,1,1.15E-28,1.54E-12
IFNL4,0.23979,2.615645882,0,3.32584,0,1.535570524,0.297469732,1,1,1,4.20E-11,1,1,1
CCL5,2.43615,3.30495423,4.010757862,4.89652,2.84202,1.369759145,0.066921077,1.11E-06,1,1,6.25E-197,1.08E-102,0.000294134,0.817201559
CCL4,0,3.526410702,3.812708831,0.61408,-0.21691,3.190673645,1.748822122,1,7.78E-09,1.61E-09,0,1,3.40E-10,1
TLR3,-0.15015,3.789332405,2.724553022,2.38014,0.34487,1.541934002,-1.287869094,1,2.53E-19,2.05E-12,5.27E-26,0.224677786,1.31E-05,0.000640666
IL23A,0.12652,1.767938604,1.493286272,2.02048,1.74424,2.364526331,2.098417263,1,1,1,1.91E-13,1.32E-07,1,1
CCL22,0,0.639082226,1.044378308,3.31609,0.41138,-0.052356315,0.728117757,1,1,1,4.22E-64,1,1,1
LGALS9,-0.14644,1.399238705,0.770230408,2.43279,-0.58183,2.809709668,2.044175876,1,1,1,5.09E-73,0.07825199,5.80E-27,2.34E-15
IFIT2,1.5167,8.061891824,7.030058497,5.19288,0.74401,6.453685193,3.469710719,0.001986591,7.12E-156,7.89E-189,0,0.00161627,1,1
OASL,0.04043,7.613584236,7.352795802,3.38875,0.76767,7.137161979,2.06755814,0.973625174,3.25E-124,8.55E-96,1.22E-176,0.007343028,1,2.58E-06
IFIT3,0.22476,6.761368472,5.904838917,4.84201,0.74976,5.963566978,1.60717321,0.803356184,7.53E-172,1.02E-197,0,2.46E-05,1,1
RSAD2,-0.07742,6.918562348,6.148514953,5.05465,-0.24441,4.332745493,2.415818583,1,6.12E-59,4.35E-38,0,1,1,1
OAS2,-0.76923,7.472275903,6.847324626,4.80743,0.21402,5.624464359,0.956117268,0.294323935,9.98E-76,1,0,1,1,0.088257504
MX1,-0.80066,7.384203416,6.346165385,3.82435,0.85963,5.217365492,0.556533108,0.223077474,2.14E-161,5.10E-157,0,0.000403514,1,0.102831334
