SARS-CoV-2_L2FC,padj_SARS-CoV-2
CSF3,2.9492143699,2.07E-25
CCL20,2.9141886649,4.12E-82
CXCL5,2.7983181066,1.84E-33
SPRR2D,2.6072764923,1.75E-40
IL36G,2.5312488636,1.06E-60
SPRR2E,2.4367442615,1.96E-18
IL6,2.3904399271,2.08E-25
SAA2,2.3335265223,1.92E-100
IL8,2.2616539826,1.12E-108
PDZK1IP1,2.0656783903,7.37E-22
CSF2,2.0429614176,1.19E-12
PGLYRP4,1.8108529126,1.79E-21
S100A8,1.7791038071,1.33E-43
CFB,1.7579756373,1.49E-39
ICAM1,1.7470673501,1.65E-33
INHBA,1.7398004682,3.10E-45
C1QTNF1,1.608967264,1.33E-13
ZC3H12A,1.5752969315,3.53E-28
TNFAIP3,1.5612296208,9.05E-50
SPRR2A,1.5583172767,9.24E-22
OAS1,1.552803764,1.68E-19
BIRC3,1.5387645665,5.41E-22
KRT6B,1.4925034597,1.03E-39
IRAK2,1.4885504027,4.15E-21
S100A7,1.4875291201,1.79E-05
VNN1,1.4696988229,6.51E-08
C3,1.4554822517,1.33E-38
SOD2,1.4525550447,2.75E-31
PI3,1.4513592834,2.16E-08
TNFAIP2,1.442835656,2.35E-20
TNFSF14,1.4152644853,4.24E-06
IFITM1,1.4040858202,1.07E-10
VNN3,1.3998329106,7.40E-05
CXCL1,1.3789547729,5.34E-44
TNF,1.3335269218,1.03E-05
PLAT,1.3234160158,3.92E-22
RHCG,1.298831413,4.11E-29
KRT24,1.2915637562,4.10E-05
CXCL2,1.2771892491,1.49E-13
LIF,1.267511535,3.06E-33
MRGPRX3,1.2551377443,0.0002820631
HBEGF,1.2533784096,6.11E-33
OAS3,1.2437097033,2.90E-18
TNIP1,1.2424696349,1.04E-53
HEPHL1,1.2379080102,1.94E-18
IRF9,1.2226241296,5.28E-40
C15orf48,1.2112201296,1.01E-42
OAS2,1.2083360709,1.63E-20
RND1,1.2071953888,1.55E-05
IRF7,1.1943641186,7.82E-05
SLC6A14,1.1793753902,1.67E-27
IL32,1.1762529339,6.01E-24
CXCL6,1.1216295659,0.0022105494
LTB,1.1211448129,0.0012633701
GBP5,1.0905230864,0.004559357
S100A9,1.0872122374,1.38E-38
MAFF,1.0850418626,8.59E-18
MYEOV,1.0835729322,2.23E-05
TRIML2,1.0791289088,0.0005077092
ITGB3,1.0522455357,2.67E-06
CYP27B1,1.0433854143,1.01E-05
IL1B,1.0368371249,5.14E-27
BST2,1.0281197283,0.0005968802
C8orf4,1.0140150838,0.0055872671
EDN1,0.9858104322,5.72E-09
S100A12,0.9593675981,0.0028159492
SOCS3,0.9531181534,2.18E-07
PDGFB,0.9521901014,3.07E-09
MGC12916,0.9417669433,0.0189817904
NFKB2,0.940857013,1.39E-18
IER3,0.9228751775,6.15E-17
MAP3K8,0.9201881004,0.0001432964
BPGM,0.9188116349,3.63E-13
ADAM8,0.9113356644,1.67E-05
STAT5A,0.9096465699,0.0026058752
LOC645638,0.8845054299,0.0428795142
P2RY6,0.883092567,0.0090385894
FAM167A,0.8826266672,0.0055525363
NFKBIZ,0.8816121561,1.38E-15
NFKBIA,0.8702198615,1.35E-16
EPSTI1,0.8683783735,0.0028561522
KRT75,0.8604278622,0.0227641075
MMP13,0.8569182588,0.0106795857
IFI44,0.8454185766,6.17E-10
C6orf223,0.8324849953,0.0311464135
CRCT1,0.8278174959,0.0035654296
HELZ2,0.8238284913,0.008707495
NRCAM,0.8104466209,0.007542568
PLSCR1,0.8066035117,2.48E-08
G0S2,0.8048775464,5.67E-10
MUC21,0.7991152065,0.0482061709
CSGALNACT1,0.7780960746,0.0288784842
IL7R,0.77411809,0.0024123441
TGM1,0.7669183882,2.97E-10
RELB,0.7609704868,0.0060730128
PARP12,0.7519272358,5.86E-09
IFI35,0.7471243131,0.0382777666
LGALS9,0.7335582814,0.0266936694
BMP2,0.7326622247,2.78E-05
IFITM3,0.732501435,7.54E-06
MMP1,0.7322653225,3.21E-07
SAMHD1,0.731140327,0.0003368028
RHOF,0.7288209194,3.73E-05
SGPP2,0.7208448765,0.0032818497
CHST2,0.7182769836,0.0276340491
STC1,0.7111313053,6.27E-08
SERPINB1,0.7109504593,7.73E-11
EFNA1,0.7087942361,1.80E-11
XDH,0.7077193629,2.24E-09
ZP3,0.6965916894,0.0284683419
CDC42EP2,0.6933635844,3.05E-05
C1R,0.686380569,0.0392536682
TGM2,0.6849591482,4.24E-06
SPRR1A,0.6828922452,0.000908701
C1S,0.681784082,0.0227029947
S100P,0.6789043092,1.28E-12
ADRB2,0.6775771838,1.08E-08
BCL3,0.6750758248,0.0004389603
DRAM1,0.6746003004,1.68E-07
POU2F2,0.6716706357,0.0005194239
PRDM1,0.6715075668,1.55E-05
IKBKE,0.6694579359,2.55E-05
TRIM47,0.6641067748,0.0329170751
IRAK3,0.6579336462,0.013522676
PLAUR,0.6533901756,4.74E-06
RHOV,0.6527892631,6.95E-09
PARP9,0.6480078326,1.35E-08
PRSS3,0.6474899686,0.0146234653
COL8A1,0.6466570667,7.19E-10
TUBA1C,0.6465639627,6.53E-09
IFIH1,0.646251657,3.24E-06
CORO1A,0.6339587378,0.0487133663
TUBB3,0.6258531722,0.0001199016
TMEM171,0.6227104788,0.0303404991
NEDD9,0.6221531187,5.96E-09
DUSP4,0.6207764005,1.39E-06
EHD1,0.6120679269,3.16E-05
FEZ1,0.6064502967,1.28E-05
SLC25A37,0.6038661475,3.92E-06
OSBP2,0.6032959942,0.008707495
OTUB2,0.5990564925,7.33E-05
HCAR3,0.5954409302,4.25E-05
ZBED2,0.5911219161,1.23E-05
TLCD1,0.5851117629,0.0162937376
SPRY4,0.581068728,0.0257040654
FOSL1,0.5757938899,3.52E-07
PRELID2,0.5748651181,0.0284683419
KRT23,0.5684637766,1.39E-05
SLPI,0.5684195353,4.29E-08
SLAMF9,0.5675737287,0.0118835669
BIK,0.5564531973,0.0484596454
SAMD9L,0.5555124917,0.0349557485
CCDC24,0.5529321362,0.0199178099
TUBA1A,0.5455054869,1.27E-06
ALOX15B,0.5450630944,1.49E-06
PLAU,0.5381796152,2.55E-09
TNC,0.5364266385,7.18E-05
NCCRP1,0.53538072,0.0002287841
BID,0.5272934496,0.0002437395
ZSWIM4,0.5183434783,0.0027452542
SBNO2,0.5139368014,0.0222777863
STAT1,0.511995413,1.41E-06
PTGS2,0.5118714912,0.0040970931
WNT7A,0.5113798265,0.0033022547
ZC3H12C,0.5110234951,0.015980971
ANGPTL4,0.5104768413,0.0004599352
MMP10,0.5092811232,0.0156903669
ITGA5,0.5068588538,5.95E-09
CXCL16,0.5014701715,2.86E-05
ASS1,0.5010452424,7.78E-07
DUOX2,0.500525578,0.0415104617
NFKB1,0.4984502315,2.75E-07
HYI,0.496228,0.0007833413
HSD11B1,0.4925802017,0.0018724992
DDX58,0.4920122938,0.019620259
NFKBIE,0.4907621291,0.0276340491
WWC1,0.4891146687,2.38E-06
TRAF3,0.4862793035,0.0006137371
TRIB2,0.4856952412,0.0287497791
SAMD4A,0.4818098986,2.04E-05
PSMB8,0.4810771541,0.0127360858
GJB2,0.4808014017,1.08E-08
NCF2,0.4786874908,0.0040971849
TNFRSF10A,0.4785562912,3.23E-05
SEMA7A,0.4784527031,0.0057493744
ETS1,0.4777407952,0.0037226295
NEURL1B,0.4745521116,1.79E-05
SLC43A3,0.47352412,0.0010681521
FDPS,0.4721027615,0.000117204
EPHA2,0.4686680323,0.0057551817
CDA,0.4684048799,0.007138408
MFSD2A,0.4670082817,0.0072301343
RFTN1,0.4656967641,0.0006215077
C15orf52,0.4647875705,1.54E-05
KRT17,0.4639051098,8.19E-06
MLKL,0.4632800343,0.0317552581
STARD5,0.4619894882,0.0094469833
CDC25B,0.4589575373,0.0021984487
GABRP,0.4521911319,0.0056892219
KCTD11,0.4499030218,1.50E-09
TUBA1B,0.4437499909,0.0018424452
CD74,0.4422825247,0.0428791133
VEGFA,0.4409445669,5.86E-09
KIAA0247,0.4388202436,1.35E-05
HERC6,0.438778714,0.0055452344
CD82,0.4343814892,0.0090134942
PRELID1,0.4339386839,0.0120180271
ANXA3,0.4316702326,0.0022253627
IGFBP3,0.4304116033,0.0311464135
STK25,0.4294285464,0.0151213041
SH3RF2,0.4270582585,7.40E-05
DTX3L,0.4226002892,1.82E-05
