log2FoldChange,padj
DDX11L1,NaN,NaN
WASH7P,-2.234740393,0.1107772262
FAM138A,NaN,NaN
FAM138F,NaN,NaN
OR4F5,NaN,NaN
LOC729737,2.4698823184,0.0534066194
LOC100132287,NaN,NaN
LOC100132062,NaN,NaN
LOC100133331,-0.5334665094,NaN
OR4F29,NaN,NaN
OR4F16,NaN,NaN
OR4F3,NaN,NaN
LOC100288069,-0.2189834281,NaN
LINC00115,-1.1728198381,NaN
LOC643837,-1.7060828703,0.120396134
FAM41C,NaN,NaN
LOC100130417,-0.0441911372,NaN
SAMD11,-0.5515009832,NaN
NOC2L,-3.1446515513,NaN
KLHL17,-1.7265822084,NaN
PLEKHN1,-0.6381275897,NaN
C1orf170,-0.6003808693,NaN
HES4,-0.109398626,0.9480324008
ISG15,4.7934687151,1.70E-12
AGRN,0.4702772849,0.7142575561
RNF223,-0.1543455635,NaN
C1orf159,-2.2496992519,NaN
LOC254099,-0.0127306013,NaN
MIR200B,NaN,NaN
MIR200A,NaN,NaN
MIR429,-0.0127306013,NaN
TTLL10,-0.4517924256,NaN
TNFRSF18,-0.8221657623,NaN
TNFRSF4,0.3883556111,0.8194060384
SDF4,-0.1571962581,0.8955826911
B3GALT6,0.0590507821,0.9734299786
FAM132A,-0.5376245816,NaN
UBE2J2,-3.2384591504,0.0048034412
SCNN1D,-0.8770880756,NaN
ACAP3,-2.2516505134,0.1073925497
PUSL1,-0.9285408983,NaN
CPSF3L,-4.1819962464,0.0005435328
GLTPD1,-1.1845782412,NaN
TAS1R3,-0.4616218272,NaN
DVL1,-2.5633830997,0.0443058188
MXRA8,-1.736991449,0.2219508157
AURKAIP1,-1.4326509035,0.1685232346
CCNL2,-2.9468948307,NaN
LOC148413,-1.4378943484,0.2732707273
MRPL20,-0.6032493393,0.7024295666
ANKRD65,-1.2622374201,NaN
TMEM88B,NaN,NaN
VWA1,-0.5740973716,0.7314387222
ATAD3C,-0.0121121834,NaN
ATAD3B,-3.4656536475,0.0078566268
ATAD3A,-3.2246520272,0.0152643255
TMEM240,-0.7359821706,NaN
SSU72,0.0990803718,0.9402677061
C1orf233,-1.3167376618,NaN
MIB2,-0.9405650521,NaN
MMP23B,-0.0232011249,NaN
MMP23A,NaN,NaN
CDK11B,-2.5802814501,0.0437083377
SLC35E2B,-0.6793007377,0.6416830054
CDK11A,-2.6251896022,0.056291214
SLC35E2,-2.1707845137,NaN
NADK,1.2912913255,0.1333420234
GNB1,0.803288798,0.2797725967
CALML6,-0.1490566753,NaN
TMEM52,-0.5554263153,NaN
KIAA1751,-0.3669645314,NaN
GABRD,-0.4828893575,NaN
PRKCZ,-3.1508765017,0.0184961905
C1orf86,-1.5577102327,0.2196824503
SKI,0.360448261,0.8198906438
MORN1,-0.9992017724,NaN
